Manual 64 model disagreement / failure-mode report
generated_at=2026-06-01T20:10:43
source=manual_64_training_view.csv

columns=epic_id, manual_label, cnn_score, primary_depth_snr, odd_even_depth_ratio, oot_to_depth, candidate_period_count, alias_risk, fallback_period_flag, duration_fraction_of_period, failure_mode, autovet_v2_penalty

A. CNN high-confidence false positives
count=15
epic_id | manual_label | cnn_score | primary_depth_snr | odd_even_depth_ratio | oot_to_depth | candidate_period_count | alias_risk | fallback_period_flag | duration_fraction_of_period | failure_mode | autovet_v2_penalty
EPIC_211952381 | reject_as_noise_or_artifact | 0.822656 | 87.6861 | 0.717 | 0.355 | 0 | pass | true |  | noise_artifact_signature | 0.06
EPIC_211959522 | uncertain_hold | 0.667575 | 99.2068 | 0.974 | 0.859 | 1066 |  | true |  | noise_artifact_signature | 0.06
EPIC_211975006 | reject_as_noise_or_artifact | 0.761132 | 786.254 | 0.911 |  | 1448 |  | true |  | noise_artifact_signature | 0.06
EPIC_211977407 | reject_as_noise_or_artifact | 0.673597 | 174.214 | 0.828 | 0.432 | 1574 |  | true |  | noise_artifact_signature | 0.06
EPIC_211979334 | reject_as_noise_or_artifact | 0.766415 | 142.097 | 0.601 |  | 698 | moderate | true |  | noise_artifact_signature | 0.06
EPIC_211980250 | reject_as_noise_or_artifact | 0.798509 | 967.711 | 0.928 |  | 476 |  | true |  | noise_artifact_signature | 0.06
EPIC_211980688 | uncertain_hold_positive | 0.810922 | 47.3456 | 0.634 | 0.472 | 1119 | moderate | true |  | noise_artifact_signature | 0.06
EPIC_211990908 | reject_as_noise_or_artifact | 0.755372 | 20.8241 | 0.673 | 0.309 | 469 |  | true |  | noise_artifact_signature | 0.06
EPIC_211991001 | reject_as_noise_or_artifact | 0.84097 | 22.4521 | 0.764 |  | 0 | moderate | true | 0.50378 | noise_artifact_signature | 0.06
EPIC_211995966 | reject_as_noise_or_artifact | 0.878716 | 3.36636 | 0.952 |  | 3 | moderate | false |  | noise_artifact_signature | 0.18
EPIC_212007527 | reject_as_noise_or_artifact | 0.670286 | 52.4107 |  |  | 7655 |  | true |  | noise_artifact_signature | 0.06
EPIC_212020442 | reject_as_noise_or_artifact | 0.896793 | 55.3006 | 0.815 |  | 0 | moderate | true |  | noise_artifact_signature | 0.06
EPIC_212025784 | reject_as_noise_or_artifact | 0.707795 | 167.93 | 0.913 | 0.718 | 1301 |  | true |  | noise_artifact_signature | 0.06

H. Most useful rejection features
count=44
epic_id | manual_label | cnn_score | primary_depth_snr | odd_even_depth_ratio | oot_to_depth | candidate_period_count | alias_risk | fallback_period_flag | duration_fraction_of_period | failure_mode | autovet_v2_penalty
EPIC_200008831 | binary_system | 0.834008 | 8.53594 | 0.35 |  | 3 |  | false |  | useful_rejection_feature | 0.14
EPIC_211424769 | binary_system | 0.696191 | 85.2574 | 0.343 |  | 0 |  | true |  | useful_rejection_feature | 0.06
EPIC_211429653 | noise_or_artifact | 0.837644 | 31.6352 | 0.247 |  | 0 | pass | true | 0.483235 | useful_rejection_feature | 0.24
EPIC_211432321 | noise_or_artifact | 0.747243 | 49.4158 |  |  | 0 | moderate | true | 0.342032 | useful_rejection_feature | 0.06
EPIC_211493634 | noise_or_artifact | 0.890358 | 786.546 | 0.789 |  | 0 | moderate | true |  | useful_rejection_feature | 0.06
EPIC_211529191 | noise_or_artifact | 0.922508 | 24.6501 |  |  | 0 |  | true |  | useful_rejection_feature | 0.06
EPIC_211536223 | noise_or_artifact | 0.804583 | 42.3788 | 0.797 | 0.51 | 0 | moderate | true | 0.213353 | useful_rejection_feature | 0.06
EPIC_211542908 | binary_system | 0.934167 | 18.8839 | 0.391 |  | 0 | moderate | true |  | useful_rejection_feature | 0.06
EPIC_211549072 | noise_or_artifact | 0.990776 | 86.2838 | 0.472 |  | 0 | review | true | 0.272569 | useful_rejection_feature | 0.06
EPIC_211569404 | noise_or_artifact | 0.779494 | 39.8191 | 0.7 |  | 0 | pass | true | 0.221528 | useful_rejection_feature | 0.06
EPIC_211573482 | binary_system | 0.823558 | 287.911 | 0.61 | 1.16 | 0 |  | true |  | useful_rejection_feature | 0.2
EPIC_211580521 | noise_or_artifact | 0.753615 | 17.1258 | 0.611 | 0.17 | 0 | high | true |  | useful_rejection_feature | 0.06
EPIC_211581700 | binary_system | 0.97592 | 6.5352 |  |  | 0 |  | true |  | useful_rejection_feature | 0.2
EPIC_211586814 | binary_system | 0.891465 | 43.4636 | 0.538 |  | 0 | pass | true | 0.304233 | useful_rejection_feature | 0.2
EPIC_211683904 | noise_or_artifact | 0.684117 | 84.6608 | 0.812 |  | 0 | moderate | true | 0.159505 | useful_rejection_feature | 0.06
EPIC_211702989 | noise_or_artifact | 0.94507 | 32.5314 | 0.4 |  | 0 | moderate | true |  | useful_rejection_feature | 0.06
EPIC_211730838 | binary_system | 0.989619 | 11.82 | 0.996 | 0.27 | 0 | low | true |  | useful_rejection_feature | 0.38
EPIC_211781094 | noise_or_artifact | 0.917082 | 16.7118 |  |  | 0 |  | true |  | useful_rejection_feature | 0.06
EPIC_211800810 | binary_system | 0.681885 | 88.3513 | 0.219 |  | 0 |  | true | 0.105804 | useful_rejection_feature | 0.06
EPIC_211844348 | noise_or_artifact | 0.80625 | 59.0231 | 0.949 |  | 0 |  | true |  | useful_rejection_feature | 0.06
EPIC_211902535 | noise_or_artifact | 0.888558 | 53.5123 | 0.68 |  | 0 |  | true | 0.0709877 | useful_rejection_feature | 0.06
EPIC_211911273 | noise_or_artifact | 0.780082 | 525.129 | 0.776 |  | 0 |  | true | 0.147716 | useful_rejection_feature | 0.06
EPIC_211920612 | reject_as_noise_or_artifact | 0.822831 | 1414.66 | 0.304 |  | 0 | pass | true |  | useful_rejection_feature | 0.06
EPIC_211933215 | reject_as_noise_or_artifact | 0.731265 | 85.6721 |  |  | 1039 |  | true |  | useful_rejection_feature | 0.06
EPIC_211935518 | low_priority_negative | 0.769432 | 227.31 | 0.929 |  | 751 |  | true |  | useful_rejection_feature | 0.06
EPIC_211939206 | low_priority_negative | 0.735696 | 97.8051 | 0.712 |  | 1671 | moderate | true |  | useful_rejection_feature | 0.06
EPIC_211942823 | reject_as_noise_or_artifact | 0.687399 | 92.0631 | 0.702 |  | 1049 | high | true |  | useful_rejection_feature | 0.06
EPIC_211944670 | low_priority_negative | 0.980615 | 5.902 | 0.721 |  | 865 | moderate | true |  | useful_rejection_feature | 0.06
EPIC_211945246 | low_priority_negative | 0.742148 | 37.346 | 0.786 | 0.0119 | 698 |  | true |  | useful_rejection_feature | 0.06
EPIC_211945592 | reject_as_noise_or_artifact | 0.681645 | 178.528 | 0.845 | 0.249 | 1248 |  | true |  | useful_rejection_feature | 0.06
EPIC_211949114 | reject_as_noise_or_artifact | 0.661673 | 142.684 | 0.885 | 0.288 | 1258 |  | true |  | useful_rejection_feature | 0.06
EPIC_211952381 | reject_as_noise_or_artifact | 0.822656 | 87.6861 | 0.717 | 0.355 | 0 | pass | true |  | useful_rejection_feature | 0.06
EPIC_211975006 | reject_as_noise_or_artifact | 0.761132 | 786.254 | 0.911 |  | 1448 |  | true |  | useful_rejection_feature | 0.06
EPIC_211977407 | reject_as_noise_or_artifact | 0.673597 | 174.214 | 0.828 | 0.432 | 1574 |  | true |  | useful_rejection_feature | 0.06
EPIC_211979334 | reject_as_noise_or_artifact | 0.766415 | 142.097 | 0.601 |  | 698 | moderate | true |  | useful_rejection_feature | 0.06
