pl_name,k2_name,epic_hostname,default_flag,disposition,disp_refname,k2_campaigns,pl_orbper,rowupdate,releasedate
"HD 89345 b","K2-234 b","EPIC 248777106",0,"CONFIRMED","Van Eylen et al. 2018","14",11.81440240000,"2024-12-10","2024-12-10"
"HD 89345 b","K2-234 b","EPIC 248777106",0,"CONFIRMED","Van Eylen et al. 2018","14",11.81430000000,"2018-08-21","2018-08-23"
"HD 89345 b","K2-234 b","EPIC 248777106",0,"CONFIRMED","Van Eylen et al. 2018","14",11.81441700000,"2024-03-04","2024-03-04"
"EPIC 248782482.01",,"EPIC 248782482",1,"CANDIDATE","Castro Gonz&aacute;lez et al. 2020","14",16.22200000000,"2022-03-28","2022-03-28"
"EPIC 248827616.01",,"EPIC 248827616",1,"CANDIDATE","Zink et al. 2021","14",2.57126700000,"2021-11-19","2021-11-19"
"EPIC 248847494 b","K2-311 b","EPIC 248847494",1,"CONFIRMED","Giles et al. 2018","14",3650.00000000000,"2019-07-19","2019-07-25"
"K2-404 b","K2-404 b","EPIC 248861279",1,"CONFIRMED","Christiansen et al. 2022","14",13.11536500000,"2022-03-16","2022-03-16"
"K2-404 b","K2-404 b","EPIC 248861279",0,"CONFIRMED","Christiansen et al. 2022","14",13.11536500000,"2021-11-19","2021-11-19"
"EPIC 248865761.01",,"EPIC 248865761",1,"CANDIDATE","Zink et al. 2021","14",13.07104100000,"2021-11-19","2021-11-19"
"EPIC 248869142.01",,"EPIC 248869142",1,"CANDIDATE","Zink et al. 2021","14",28.84833900000,"2021-11-19","2021-11-19"
"K2-405 b","K2-405 b","EPIC 248874928",1,"CONFIRMED","Christiansen et al. 2022","14",3.43547100000,"2022-03-16","2022-03-16"
"K2-405 b","K2-405 b","EPIC 248874928",0,"CONFIRMED","Christiansen et al. 2022","14",3.43551130000,"2026-04-30","2022-08-09"
"K2-405 b","K2-405 b","EPIC 248874928",0,"CONFIRMED","Christiansen et al. 2022","14",3.43545300000,"2021-11-19","2021-11-19"
"K2-405 b","K2-405 b","EPIC 248874928",0,"CONFIRMED","Christiansen et al. 2022","14",3.43570033951,"2026-04-23","2026-04-23"
"EPIC 249217834.01",,"EPIC 249217834",1,"CANDIDATE","Zink et al. 2021","15",6.69568700000,"2021-11-19","2021-11-19"
"EPIC 249217834.02",,"EPIC 249217834",1,"CANDIDATE","Zink et al. 2021","15",27.91723600000,"2021-11-19","2021-11-19"
"K2-406 b","K2-406 b","EPIC 249223471",1,"CONFIRMED","Christiansen et al. 2022","15",22.54940600000,"2022-03-16","2022-03-16"
"K2-406 b","K2-406 b","EPIC 249223471",0,"CONFIRMED","Christiansen et al. 2022","15",22.54940600000,"2021-11-19","2021-11-19"
"EPIC 249236972.01",,"EPIC 249236972",1,"CANDIDATE","Zink et al. 2021","15",17.81821100000,"2021-11-19","2021-11-19"
"EPIC 249239123.01",,"EPIC 249239123",1,"CANDIDATE","Zink et al. 2021","15",5.11683400000,"2021-11-19","2021-11-19"
"EPIC 249373875.01",,"EPIC 249373875",1,"CANDIDATE","Zink et al. 2021","15",7.52210900000,"2021-11-19","2021-11-19"
