feature,normalized_label,rows,missing_count,missing_fraction
cnn_embedding_033,candidate_like,9,0,0.0
cnn_embedding_033,false_positive_eb_or_variable,85,0,0.0
cnn_embedding_033,reject_as_noise_or_artifact,174,0,0.0
cnn_embedding_034,candidate_like,9,0,0.0
cnn_embedding_034,false_positive_eb_or_variable,85,0,0.0
cnn_embedding_034,reject_as_noise_or_artifact,174,0,0.0
cnn_embedding_035,candidate_like,9,0,0.0
cnn_embedding_035,false_positive_eb_or_variable,85,0,0.0
cnn_embedding_035,reject_as_noise_or_artifact,174,0,0.0
cnn_embedding_036,candidate_like,9,0,0.0
cnn_embedding_036,false_positive_eb_or_variable,85,0,0.0
cnn_embedding_036,reject_as_noise_or_artifact,174,0,0.0
cnn_embedding_037,candidate_like,9,0,0.0
cnn_embedding_037,false_positive_eb_or_variable,85,0,0.0
cnn_embedding_037,reject_as_noise_or_artifact,174,0,0.0
cnn_embedding_038,candidate_like,9,0,0.0
cnn_embedding_038,false_positive_eb_or_variable,85,0,0.0
cnn_embedding_038,reject_as_noise_or_artifact,174,0,0.0
cnn_embedding_039,candidate_like,9,0,0.0
cnn_embedding_039,false_positive_eb_or_variable,85,0,0.0
cnn_embedding_039,reject_as_noise_or_artifact,174,0,0.0
cnn_embedding_040,candidate_like,9,0,0.0
cnn_embedding_040,false_positive_eb_or_variable,85,0,0.0
cnn_embedding_040,reject_as_noise_or_artifact,174,0,0.0
cnn_embedding_041,candidate_like,9,0,0.0
cnn_embedding_041,false_positive_eb_or_variable,85,0,0.0
cnn_embedding_041,reject_as_noise_or_artifact,174,0,0.0
cnn_embedding_042,candidate_like,9,0,0.0
cnn_embedding_042,false_positive_eb_or_variable,85,0,0.0
cnn_embedding_042,reject_as_noise_or_artifact,174,0,0.0
cnn_embedding_043,candidate_like,9,0,0.0
cnn_embedding_043,false_positive_eb_or_variable,85,0,0.0
cnn_embedding_043,reject_as_noise_or_artifact,174,0,0.0
cnn_embedding_044,candidate_like,9,0,0.0
cnn_embedding_044,false_positive_eb_or_variable,85,0,0.0
cnn_embedding_044,reject_as_noise_or_artifact,174,0,0.0
cnn_embedding_045,candidate_like,9,0,0.0
cnn_embedding_045,false_positive_eb_or_variable,85,0,0.0
cnn_embedding_045,reject_as_noise_or_artifact,174,0,0.0
cnn_embedding_046,candidate_like,9,0,0.0
cnn_embedding_046,false_positive_eb_or_variable,85,0,0.0
cnn_embedding_046,reject_as_noise_or_artifact,174,0,0.0
cnn_embedding_047,candidate_like,9,0,0.0
cnn_embedding_047,false_positive_eb_or_variable,85,0,0.0
cnn_embedding_047,reject_as_noise_or_artifact,174,0,0.0
cnn_embedding_048,candidate_like,9,0,0.0
cnn_embedding_048,false_positive_eb_or_variable,85,0,0.0
cnn_embedding_048,reject_as_noise_or_artifact,174,0,0.0
cnn_embedding_049,candidate_like,9,0,0.0
cnn_embedding_049,false_positive_eb_or_variable,85,0,0.0
cnn_embedding_049,reject_as_noise_or_artifact,174,0,0.0
cnn_embedding_050,candidate_like,9,0,0.0
cnn_embedding_050,false_positive_eb_or_variable,85,0,0.0
cnn_embedding_050,reject_as_noise_or_artifact,174,0,0.0
cnn_embedding_051,candidate_like,9,0,0.0
cnn_embedding_051,false_positive_eb_or_variable,85,0,0.0
cnn_embedding_051,reject_as_noise_or_artifact,174,0,0.0
cnn_embedding_052,candidate_like,9,0,0.0
cnn_embedding_052,false_positive_eb_or_variable,85,0,0.0
cnn_embedding_052,reject_as_noise_or_artifact,174,0,0.0
cnn_embedding_053,candidate_like,9,0,0.0
cnn_embedding_053,false_positive_eb_or_variable,85,0,0.0
cnn_embedding_053,reject_as_noise_or_artifact,174,0,0.0
cnn_embedding_054,candidate_like,9,0,0.0
cnn_embedding_054,false_positive_eb_or_variable,85,0,0.0
cnn_embedding_054,reject_as_noise_or_artifact,174,0,0.0
cnn_embedding_055,candidate_like,9,0,0.0
cnn_embedding_055,false_positive_eb_or_variable,85,0,0.0
cnn_embedding_055,reject_as_noise_or_artifact,174,0,0.0
cnn_embedding_056,candidate_like,9,0,0.0
cnn_embedding_056,false_positive_eb_or_variable,85,0,0.0
cnn_embedding_056,reject_as_noise_or_artifact,174,0,0.0
cnn_embedding_057,candidate_like,9,0,0.0
cnn_embedding_057,false_positive_eb_or_variable,85,0,0.0
cnn_embedding_057,reject_as_noise_or_artifact,174,0,0.0
cnn_embedding_058,candidate_like,9,0,0.0
cnn_embedding_058,false_positive_eb_or_variable,85,0,0.0
cnn_embedding_058,reject_as_noise_or_artifact,174,0,0.0
cnn_embedding_059,candidate_like,9,0,0.0
cnn_embedding_059,false_positive_eb_or_variable,85,0,0.0
cnn_embedding_059,reject_as_noise_or_artifact,174,0,0.0
cnn_embedding_060,candidate_like,9,0,0.0
